community,property_type,median_rent_per_sqft,median_price_per_sqft,gross_yield_pct
Al Qusais,3BR,18,201.5,8.933002481
Arabian Ranches,5BR_villa,41,459,8.932461874
Jumeirah Lake Towers,3BR,24.5,274.5,8.925318761
Reem Mira,3BR_villa,24,269,8.921933086
Dubai Studio City,1BR,16.5,185,8.918918919
Jumeirah Village Triangle,studio,21,235.5,8.917197452
Dubailand,4BR_villa,16,179.5,8.913649025
Mirdif,4BR_villa,22,247,8.906882591
Dubai Silicon Oasis,3BR,17,191,8.90052356
Mudon,3BR_villa,23,258.5,8.897485493
Al Barsha,2BR,25,281,8.896797153
Jumeirah Golf Estates,6BR_villa,39.5,444,8.896396396
Damac Hills,studio,24,270,8.888888889
Jumeirah Village Triangle,2BR,20,225,8.888888889
Dubai Sports City,2BR,17,191.5,8.877284595
Jumeirah Islands,6BR_villa,49,552,8.876811594
Jumeirah Islands,3BR_villa,50,563.5,8.873114463
Arabian Ranches,6BR_villa,40,451.5,8.859357697
Bluewaters Island,studio,64,722.5,8.858131488
Motor City,1BR,21,237.5,8.842105263
Bukadra,3BR_villa,32,362,8.839779006
Jumeirah 3,4BR_villa,60,681,8.810572687
Motor City,2BR,20,227,8.810572687
Remraam,2BR,13.5,153.5,8.794788274
Jumeirah Park,5BR_villa,44,501,8.78243513
The Views,2BR,35,399,8.771929825
Arabian Ranches 3,4BR_villa,41.5,474,8.755274262
Remraam,1BR,13,148.5,8.754208754
Discovery Gardens,3BR,17,194.5,8.740359897
Jebel Ali,1BR,13,149,8.724832215
Dubai Creek Harbour,4BR_villa,41,470,8.723404255
Jumeirah Village Circle,2BR,20.5,235,8.723404255
Dubai Creek Harbour,4BR_penthouse,40,459,8.71459695
The Meadows,5BR_villa,44.5,511,8.708414873
The Lakes,6BR_villa,43.5,500,8.7
Jumeirah Golf Estates,3BR_villa,40,460,8.695652174
Jumeirah Golf Estates,4BR_villa,39,450,8.666666667
Arabian Ranches 2,6BR_villa,42,485,8.659793814
Jumeirah Beach Residence,3BR,46,532,8.646616541
Living Legends,1BR,22,254.5,8.644400786
Dubai Studio City,studio,15,174,8.620689655
Town Square,studio,15,174,8.620689655
Damac Hills,6BR_villa,26,302,8.609271523
The Lakes,3BR_villa,40.5,471,8.598726115
DAMAC Lagoons,6BR_villa,25,291,8.591065292
Dubai Production City,2BR,14,163,8.588957055
World Islands,4BR_villa,73,850.5,8.583186361
Motor City,4BR_penthouse,23,268,8.582089552
Mira,6BR_villa,22,256.5,8.576998051
World Islands,1BR,71,828,8.574879227
DAMAC Lagoons,5BR_villa,27,315,8.571428571
Jumeirah Beach Residence,4BR_penthouse,44,513.5,8.568646543
Dubailand,6BR_villa,15.5,181,8.563535912
Liwan,3BR,15.5,181,8.563535912
Al Warqa,3BR_villa,21,246,8.536585366
Dubailand,2BR,14,164,8.536585366
Dubai Harbour,4BR_villa,63,739,8.525033829
Al Reem,3BR_villa,30,352,8.522727273
Bluewaters Island,3BR,58.5,687,8.515283843
Al Mamzar,3BR,24,282,8.510638298
Bukadra,4BR_villa,31,364.5,8.504801097
Dubai Sports City,3BR,17,200,8.5
Dubai Sports City,studio,17,200,8.5
DAMAC Lagoons,3BR_villa,26,306,8.496732026
Reem Mira,5BR_villa,23,271.5,8.47145488
Jumeirah Beach Residence,2BR,42,496,8.467741935
Discovery Gardens,2BR,16,189,8.465608466
Jumeirah Village Circle,studio,19,224.5,8.46325167
Dubai Investment Park,4BR_penthouse,15,177.5,8.450704225
Jumeirah Village Circle,1BR,19,225,8.444444444
Dubai Hills Estate,5BR_villa,41,486,8.436213992
Living Legends,studio,20.5,243,8.436213992
Dubai Production City,1BR,14,166,8.43373494
World Islands,4BR_penthouse,67.5,802,8.416458853
The Greens,4BR_penthouse,32,381,8.398950131
Falcon City of Wonders,studio,18,214.5,8.391608392
Jebel Ali,studio,13,155,8.387096774
The Views,4BR_penthouse,32,382,8.376963351
Maritime City,4BR_penthouse,36,430,8.372093023
Jumeirah Village Triangle,1BR,20,239,8.368200837
Motor City,studio,20,239,8.368200837
Al Barsha,4BR_penthouse,23,275,8.363636364
Mira,4BR_villa,23,275,8.363636364
Damac Hills,2BR,24,288,8.333333333
Remraam,3BR,12.5,150,8.333333333
Arabian Ranches 2,4BR_villa,40.5,487,8.316221766
Mirdif,3BR_villa,20,240.5,8.316008316
Dubai Sports City,1BR,16,192.5,8.311688312
Bukadra,5BR_villa,30,361,8.310249307
Jumeirah Lake Towers,2BR,23.5,283,8.303886926
Emirates Hills,4BR_villa,77.5,934,8.29764454
Falcon City of Wonders,3BR,20,241.5,8.281573499
Jumeirah Park,6BR_villa,41,496,8.266129032
Jumeirah Village Circle,4BR_penthouse,20,242,8.26446281
Meydan,1BR,38,460,8.260869565
Sobha Hartland,3BR_villa,44,533,8.255159475
Palm Jumeirah,1BR,69,836,8.253588517
Majan,1BR,17,206,8.252427184
Al Warqa,4BR_villa,21,254.5,8.251473477
Dubai Creek Harbour,5BR_villa,41,497.5,8.24120603
Dubailand,studio,13.5,164,8.231707317
Damac Hills,5BR_villa,22,268,8.208955224
Sobha Hartland,5BR_villa,46,560.5,8.206958073
Bluewaters Island,4BR_penthouse,57,695,8.201438849
Emirates Hills,5BR_villa,74,903,8.194905869
Dubai Festival City,studio,29,354,8.192090395
The Views,1BR,32,391,8.184143223
Dubai Marina,studio,40,489,8.1799591
Falcon City of Wonders,1BR,19,232.5,8.172043011
Mohammed Bin Rashid City,3BR_villa,44,539,8.163265306
DIFC,5BR_villa,71.5,876,8.162100457
Damac Hills,3BR,23.5,288,8.159722222
The Views,studio,34,417,8.153477218
Discovery Gardens,1BR,15,184,8.152173913
Dubai Islands,3BR_villa,43,528,8.143939394
Falcon City of Wonders,4BR_penthouse,20,246,8.130081301
Jumeirah Village Triangle,4BR_penthouse,20,246,8.130081301
Meydan,3BR_villa,39,480,8.125
Deira,4BR_penthouse,18,222,8.108108108
Majan,2BR,17,210,8.095238095
Dubai Harbour,5BR_villa,63,778.5,8.092485549
Town Square,1BR,14,173,8.092485549
Al Qusais,studio,15,185.5,8.086253369
Al Qusais,4BR_penthouse,16,198,8.080808081
Dubai Creek Harbour,6BR_villa,40.5,501.5,8.075772682
The Greens,2BR,31,385,8.051948052
Jumeirah 2,6BR_villa,56,696,8.045977011
Damac Hills,3BR_villa,23,286,8.041958042
Bukadra,studio,28,348.5,8.034433286
Bukadra,6BR_villa,30,373.5,8.032128514
The Greens,1BR,31,386,8.031088083
Jumeirah Beach Residence,studio,41,511,8.023483366
Dubai Studio City,2BR,15,187,8.021390374
Dubai Silicon Oasis,2BR,16,200,8
International City,2BR,10,125,8
International City,studio,10,125,8
Majan,3BR,16,200,8
The Greens,3BR,32,400.5,7.990012484
Dubai Harbour,3BR,60,751.5,7.984031936
Al Nahda,2BR,17,213,7.981220657
Dubai Islands,4BR_villa,42.5,533,7.973733583
City Walk,3BR_villa,52.5,660,7.954545455
Discovery Gardens,4BR_penthouse,14,176,7.954545455
Al Barsha South,3BR,19,239,7.949790795
Al Barsha South,1BR,20,252,7.936507937
International City,3BR,10,126,7.936507937
Jumeirah Bay Island,5BR_villa,123,1552,7.925257732
Falcon City of Wonders,6BR_villa,19.5,247,7.894736842
World Islands,2BR,69,874,7.894736842
Bluewaters Island,5BR_villa,60,760.5,7.889546351
Palm Jumeirah,studio,69,875,7.885714286
Meydan,5BR_villa,36,457,7.877461707
Sobha Hartland,4BR_villa,46,584.5,7.869974337
Jumeirah Lake Towers,1BR,23,292.5,7.863247863
Pearl Jumeira,6BR_villa,80.5,1025,7.853658537
Jumeirah Village Circle,3BR,19,242,7.851239669
City Walk,4BR_villa,61,777,7.850707851
La Mer,studio,69,879.5,7.845366686
Dubai Hills Estate,studio,37,472,7.838983051
Al Barsha,studio,23,293.5,7.836456559
Pearl Jumeira,5BR_villa,98,1251,7.833733014
Al Barsha South,studio,21.5,274.5,7.832422587
Living Legends,3BR,21,269,7.80669145
Majan,4BR_penthouse,16,205,7.804878049
Meydan,studio,37.5,481,7.796257796
Bulgari Resort,4BR_villa,162,2078,7.795957652
Dubai Harbour,4BR_penthouse,58,745,7.785234899
Jumeirah Lake Towers,studio,22,283,7.77385159
Liwan,1BR,15,193,7.772020725
Liwan,studio,15,193,7.772020725
Al Mamzar,2BR,24,309,7.766990291
Al Warqa,6BR_villa,20,257.5,7.766990291
Dubai Silicon Oasis,1BR,16,206,7.766990291
Damac Hills,1BR,21,270.5,7.763401109
Al Nahda,1BR,17,219,7.762557078
Madinat Jumeirah Living,4BR_penthouse,57,735,7.755102041
Sobha Hartland,studio,44.5,574,7.75261324
Falcon City of Wonders,2BR,18.5,239,7.740585774
Dubai Production City,3BR,13,168,7.738095238
World Islands,6BR_villa,61,790,7.721518987
The Views,3BR,32,415,7.710843373
Al Barsha,4BR_villa,24,312,7.692307692
Al Qusais,2BR,16,208,7.692307692
Dubai Creek Harbour,studio,36,468,7.692307692
Dubai Hills Estate,3BR_villa,37,481,7.692307692
Dubai Islands,5BR_villa,39.5,514.5,7.677356657
Al Nahda,3BR,17,222,7.657657658
Bukadra,2BR,29,379,7.65171504
Dubai Production City,4BR_penthouse,14,183,7.650273224
Sobha Hartland,6BR_villa,44.5,582,7.64604811
Al Mamzar,studio,23,301,7.641196013
Bluewaters Island,2BR,55,720,7.638888889
Dubai Silicon Oasis,studio,16,209.5,7.637231504
Dubai Harbour,1BR,57,748,7.620320856
Maritime City,studio,32,420,7.619047619
Dubai Marina,4BR_penthouse,42,551.5,7.615593835
Al Mamzar,1BR,23,303,7.590759076
Palm Jumeirah,5BR_villa,71.5,942,7.590233546
Maritime City,1BR,33,435,7.586206897
Dubai Marina,2BR,38,501,7.584830339
Jumeirah Bay Island,6BR_villa,116,1532,7.571801567
Bukadra,4BR_penthouse,28.5,377,7.559681698
Jumeirah 1,6BR_villa,48,635.5,7.553107789
Majan,studio,16,212,7.547169811
La Mer,4BR_villa,72.5,961,7.544224766
Dubai Islands,3BR,41,544,7.536764706
Jumeirah Beach Residence,1BR,41,544,7.536764706
Mohammed Bin Rashid City,5BR_villa,42,558,7.52688172
Dubai Festival City,2BR,29.5,392.5,7.515923567
Deira,3BR,18,239.5,7.51565762
Dubai Hills Estate,2BR,35,466,7.510729614
Dubai Festival City,1BR,29,387,7.493540052
Business Bay,3BR,40.5,541,7.486136784
Al Barsha South,4BR_penthouse,19,254,7.480314961
Dubai Marina,1BR,37,495,7.474747475
Al Barsha,1BR,23.5,314.5,7.47217806
Deira,1BR,18,241,7.468879668
Deira,2BR,18,241,7.468879668
Dubai Hills Estate,4BR_villa,37,496,7.459677419
Liwan,4BR_penthouse,16,214.5,7.459207459
World Islands,3BR,67,898.5,7.456872565
Bur Dubai,3BR,19,255,7.450980392
World Islands,studio,67,900.5,7.440310938
La Mer,6BR_villa,62,836,7.416267943
Jumeirah 1,5BR_villa,52.5,708,7.415254237
DIFC,4BR_villa,69,931,7.411385607
International City,1BR,10,135,7.407407407
Dubai Creek Harbour,1BR,36.5,493,7.403651116
Dubai Silicon Oasis,4BR_penthouse,17,230,7.391304348
Maritime City,3BR,34,460,7.391304348
Damac Hills,4BR_penthouse,19.5,264,7.386363636
Al Mamzar,4BR_penthouse,22,298,7.382550336
Palm Jumeirah,3BR,63.5,861,7.37514518
Al Qusais,1BR,15,203.5,7.371007371
Jumeirah 2,5BR_villa,54,733,7.366984993
Sobha Hartland,1BR,41.5,564,7.358156028
Dubai Harbour,2BR,58,789,7.351077313
Bur Dubai,1BR,18,245,7.346938776
Azizi Riviera,4BR_penthouse,29,395,7.341772152
The Greens,studio,29,395,7.341772152
Dubai Festival City,3BR,29,396,7.323232323
World Islands,3BR_villa,67,917,7.306434024
Bluewaters Island,1BR,55,753,7.304116866
Dubai Marina,3BR,40,548,7.299270073
Mohammed Bin Rashid City,4BR_villa,40,548,7.299270073
Dubai Islands,studio,38,521,7.293666027
Meydan,2BR,35,480,7.291666667
Dubai Hills Estate,6BR_villa,31,426,7.276995305
Karama,studio,19,261.5,7.265774379
Deira,studio,17,234,7.264957265
Dubai Islands,2BR,38.5,530,7.264150943
Mohammed Bin Rashid City,3BR,39,537,7.262569832
Dubai Studio City,4BR_penthouse,13.5,186,7.258064516
Living Legends,2BR,20,276,7.246376812
Dubai Hills Estate,3BR,37,512.5,7.219512195
City Walk,5BR_villa,56,776,7.216494845
Mohammed Bin Rashid City,1BR,37,514,7.19844358
Palm Jumeirah,2BR,66,917,7.19738277
Madinat Jumeirah Living,4BR_villa,63,882,7.142857143
Umm Suqeim,5BR_villa,52,730,7.123287671
Bur Dubai,2BR,18.5,260,7.115384615
Jumeirah 1,3BR_villa,50,703,7.112375533
Azizi Riviera,3BR,30,422,7.109004739
Bukadra,3BR,27,380,7.105263158
City Walk,6BR_villa,44,619.5,7.102502018
Dubai Creek Harbour,2BR,35.5,500,7.1
Dubai Islands,4BR_penthouse,36,508,7.086614173
Karama,1BR,18,254,7.086614173
Palm Jumeirah,3BR_villa,62.5,882.5,7.082152975
Mohammed Bin Rashid City,4BR_penthouse,41,579.5,7.075064711
Bukadra,1BR,25,354,7.062146893
Meydan,4BR_villa,34,483,7.039337474
Al Nahda,4BR_penthouse,16,227.5,7.032967033
Meydan,3BR,36,517,6.963249516
Sobha Hartland,3BR,40,575,6.956521739
Dubai Hills Estate,1BR,34,489,6.952965235
Azizi Riviera,studio,30,432.5,6.936416185
Jumeirah 3,3BR_villa,47.5,685,6.934306569
Karama,3BR,19,274,6.934306569
Jumeirah 1,4BR_penthouse,50.5,728.5,6.932052162
DIFC,2BR,73,1054,6.925996205
Karama,2BR,18,260,6.923076923
Palm Jumeirah,6BR_villa,71.5,1034.5,6.911551474
Business Bay,4BR_penthouse,43,622.5,6.907630522
Dubai Festival City,4BR_penthouse,27,391,6.905370844
Sobha Hartland,2BR,39.5,574,6.881533101
Umm Suqeim,4BR_villa,51,743,6.864064603
DIFC,1BR,71,1035,6.859903382
Al Nahda,studio,16,233.5,6.852248394
DIFC,6BR_villa,69,1007,6.85203575
Jumeirah 1,2BR,44,643,6.842923795
Azizi Riviera,2BR,29,426,6.807511737
Pearl Jumeira,4BR_penthouse,75,1102.5,6.802721088
Sobha Hartland,4BR_penthouse,38.5,566,6.802120141
Bulgari Resort,1BR,146,2149,6.793857608
Dubai Islands,1BR,35,515.5,6.789524733
Umm Suqeim,6BR_villa,53,782,6.777493606
Mohammed Bin Rashid City,6BR_villa,40,591,6.768189509
Jumeirah Bay Island,3BR_villa,108.5,1604,6.764339152
Jumeirah 3,1BR,48,713,6.732117812
Madinat Jumeirah Living,6BR_villa,58.5,871,6.71641791
Dubai Creek Harbour,3BR,32,477,6.708595388
Maritime City,2BR,31.5,470,6.70212766
Jumeirah Bay Island,1BR,99,1479,6.693711968
Bur Dubai,studio,18,269,6.691449814
Mohammed Bin Rashid City,studio,37,553,6.690777577
Jumeirah 2,4BR_villa,49.5,742,6.67115903
Dubailand,4BR_penthouse,12,180,6.666666667
Meydan,6BR_villa,34.5,519.5,6.641000962
City Walk,1BR,51,769,6.631989597
Madinat Jumeirah Living,3BR_villa,63,951.5,6.62112454
DIFC,studio,70,1058.5,6.61313179
Mohammed Bin Rashid City,2BR,37,560,6.607142857
Jumeirah 3,6BR_villa,48,727,6.602475928
Bulgari Resort,5BR_villa,136,2065,6.585956416
La Mer,5BR_villa,69,1049,6.577693041
City Walk,4BR_penthouse,47,716,6.56424581
Bur Dubai,4BR_penthouse,18,274.5,6.557377049
Madinat Jumeirah Living,studio,55,842,6.532066508
Jumeirah 3,5BR_villa,48,736,6.52173913
Madinat Jumeirah Living,2BR,54.5,836,6.519138756
Umm Suqeim,3BR_villa,51,784,6.505102041
Azizi Riviera,1BR,28,430.5,6.504065041
Jumeirah Bay Island,4BR_villa,115,1777,6.471581317
City Walk,2BR,47,727.5,6.4604811
Jumeirah 2,2BR,44,682,6.451612903
Palm Jumeirah,4BR_penthouse,60,934,6.423982869
Madinat Jumeirah Living,3BR,56,873,6.414662085
DIFC,4BR_penthouse,72,1124,6.40569395
Al Barsha,3BR,21,328.5,6.392694064
Dubai Harbour,studio,55.5,870,6.379310345
Living Legends,4BR_penthouse,21,329.5,6.373292868
Pearl Jumeira,2BR,72,1133.5,6.352007058
Jumeirah Bay Island,studio,98,1547,6.334841629
Pearl Jumeira,3BR_villa,70,1106,6.329113924
City Walk,3BR,48.5,768,6.315104167
La Mer,4BR_penthouse,61.5,977,6.294779939
Pearl Jumeira,1BR,70,1113,6.289308176
Jumeirah 1,4BR_villa,46,733,6.275579809
Jumeirah Bay Island,4BR_penthouse,104.5,1665.5,6.274392074
Karama,4BR_penthouse,17.5,279,6.272401434
Business Bay,studio,35.5,568,6.25
Jumeirah 1,studio,43,688,6.25
Pearl Jumeira,studio,71,1137.5,6.241758242
La Mer,1BR,63,1014.5,6.209955643
Madinat Jumeirah Living,1BR,55,886,6.207674944
Jumeirah 2,3BR_villa,45.5,736,6.182065217
Jumeirah 2,4BR_penthouse,45,729,6.172839506
Jumeirah 2,1BR,44,720.5,6.106870229
Jumeirah 3,studio,45,738,6.097560976
Jumeirah 2,3BR,43.5,714,6.092436975
La Mer,3BR_villa,71,1176,6.037414966
Jumeirah 1,3BR,43,713,6.03085554
Jumeirah 3,2BR,45,749,6.008010681
Bulgari Resort,2BR,138,2301,5.997392438
Jumeirah Bay Island,3BR,94,1568,5.994897959
City Walk,studio,45,751,5.992010652
Business Bay,1BR,35,586,5.972696246
Jumeirah Bay Island,2BR,97.5,1633,5.970606246
Downtown Dubai,4BR_penthouse,49,821,5.968331303
Downtown Dubai,2BR,53,891,5.948372615
La Mer,2BR,61.5,1034,5.947775629
Pearl Jumeira,4BR_villa,76,1282,5.928237129
Jumeirah 1,1BR,42,708.5,5.928016937
DIFC,3BR_villa,74,1252,5.910543131
Downtown Dubai,1BR,52,880,5.909090909
Dubai Creek Harbour,3BR_villa,28,474.5,5.900948367
Downtown Dubai,studio,51,867.5,5.878962536
DIFC,3BR,63,1072,5.876865672
Jumeirah 3,3BR,43,732,5.87431694
Bulgari Resort,studio,132,2251,5.864060418
Jumeirah 2,studio,43,737,5.834464043
Bulgari Resort,4BR_penthouse,134.5,2310,5.822510823
Pearl Jumeira,3BR,67.5,1163.5,5.801461109
Bulgari Resort,3BR,134,2313.5,5.792089907
Meydan,4BR_penthouse,28,490,5.714285714
La Mer,3BR,60,1065,5.633802817
Bulgari Resort,3BR_villa,128,2298,5.570060923
Business Bay,2BR,33,594,5.555555556
Bulgari Resort,6BR_villa,138.5,2516,5.504769475
Downtown Dubai,3BR,48.5,909,5.335533553
Madinat Jumeirah Living,5BR_villa,55,1033.5,5.321722303
Jumeirah 3,4BR_penthouse,39,754.5,5.168986083
