community,volatility_pct,avg_monthly_growth_pct,latest_price_per_sqft,price_2020,total_growth_pct
Meydan,0.03552102526156716,0.007808739448678071,623,364,71.15384615384615
Mira,0.03708898562567035,0.008955533789709738,410,221,85.52036199095024
Mirdif,0.03310254497102543,0.007649119116201356,347,204,70.09803921568627
Mohammed Bin Rashid City,0.03914165928741823,0.008152090882051568,680,391,73.91304347826086
Motor City,0.036174692714087915,0.008078585204885823,354,203,74.38423645320198
Mudon,0.04017693403448066,0.008767855975325822,396,218,81.65137614678899
Palm Jumeirah,0.039590568512070004,0.008752507045084337,1202,662,81.57099697885198
Pearl Jumeira,0.04107754168393075,0.007111338157757322,1219,762,59.973753280839894
Reem Mira,0.032793715259643925,0.008291244520100658,411,230,78.69565217391303
Remraam,0.04470514921530264,0.009398372117171287,242,129,87.59689922480621
Sobha Hartland,0.03617806915072271,0.008611906131680553,722,398,81.4070351758794
Sustainable City,0.03462864062579355,0.007190573578632794,439,268,63.80597014925373
The Greens,0.03649260929099745,0.008817192384628646,510,277,84.11552346570397
The Lakes,0.03946324678528688,0.008205900959782225,715,410,74.39024390243902
The Meadows,0.04202097617998594,0.008868736958982146,727,400,81.74999999999999
The Springs,0.03458622468636026,0.008088441651761662,625,357,75.07002801120449
The Valley,0.03866425626423478,0.0075895082320828556,314,188,67.02127659574468
The Views,0.037955691331874535,0.008090290483335722,530,305,73.77049180327869
Tilal Al Ghaf,0.03564329409081063,0.008367027211021647,503,282,78.36879432624113
Town Square,0.0360783924921225,0.008118169014349938,271,155,74.83870967741935
Umm Suqeim,0.0375163082113049,0.008595543283469259,843,467,80.51391862955033
World Islands,0.03308621324796066,0.008562914927554859,1244,683,82.13762811127378
